iter	Passed	Remaining
404	8273	22370
405	8293	22348
406	8313	22326
407	8334	22308
408	8360	22300
409	8382	22284
410	8402	22264
411	8424	22245
412	8444	22225
413	8465	22206
414	8486	22186
415	8507	22168
416	8527	22146
417	8546	22122
418	8566	22101
419	8588	22084
420	8612	22073
421	8633	22053
422	8652	22030
423	8673	22010
424	8693	21990
425	8714	21969
426	8735	21950
427	8756	21931
428	8778	21914
429	8799	21895
430	8818	21873
431	8840	21855
432	8861	21836
433	8882	21817
434	8904	21800
435	8929	21790
436	8949	21769
437	8968	21746
438	8989	21727
439	9011	21709
440	9030	21684
441	9049	21661
442	9070	21642
443	9095	21632
444	9115	21612
445	9137	21593
446	9158	21574
447	9178	21552
448	9198	21530
449	9219	21511
450	9239	21490
451	9261	21473
452	9280	21450
453	9300	21428
454	9320	21407
455	9341	21388
456	9363	21369
457	9386	21354
458	9408	21337
459	9427	21314
460	9448	21295
461	9469	21275
462	9489	21254
463	9510	21235
464	9532	21216
465	9553	21198
466	9573	21176
467	9593	21154
468	9614	21135
469	9635	21115
470	9654	21092
471	9674	21070
472	9693	21046
473	9714	21027
474	9734	21006
475	9756	20987
476	9776	20966
477	9797	20947
478	9819	20929
479	9839	20908
480	9859	20888
481	9880	20867
482	9899	20844
483	9920	20824
484	9941	20805
485	9962	20786
486	9984	20768
487	10006	20750
488	10025	20727
489	10045	20705
490	10066	20685
491	10087	20666
492	10107	20645
493	10126	20622
494	10149	20607
495	10171	20589
496	10192	20569
497	10213	20550
498	10234	20529
499	10254	20509
500	10274	20488
501	10294	20466
502	10315	20447
503	10340	20435
504	10364	20420
505	10386	20403
506	10407	20383
507	10429	20366
508	10450	20347
509	10473	20330
510	10493	20309
511	10512	20285
512	10533	20265
513	10555	20248
514	10576	20228
515	10596	20207
516	10617	20186
517	10636	20164
518	10654	20138
519	10672	20114
520	10693	20094
521	10713	20072
522	10733	20051
523	10754	20030
524	10774	20009
525	10793	19986
526	10812	19963
527	10833	19943
528	10854	19923
529	10874	19902
530	10895	19882
531	10916	19862
532	10935	19840
533	10953	19815
534	10975	19797
535	10995	19774
536	11016	19756
537	11038	19737
538	11063	19726
539	11084	19705
540	11105	19686
541	11126	19666
542	11145	19642
543	11166	19623
544	11186	19601
545	11206	19581
546	11227	19560
547	11247	19539
548	11267	19518
549	11288	19498
550	11310	19479
551	11330	19459
552	11349	19435
553	11370	19415
554	11390	19395
555	11411	19374
556	11431	19353
557	11449	19329
558	11469	19307
559	11490	19287
560	11510	19265
561	11530	19244
562	11552	19226
563	11574	19208
564	11594	19187
565	11615	19167
566	11635	19146
567	11656	19126
568	11676	19104
569	11695	19081
570	11716	19062
571	11737	19043
572	11759	19023
573	11778	19001
574	11797	18979
575	11817	18956
576	11836	18933
577	11856	18913
578	11877	18893
579	11897	18872
580	11918	18852
581	11938	18830
582	11959	18810
583	11979	18788
584	11999	18768
585	12019	18747
586	12038	18725
587	12059	18703
588	12080	18684
589	12099	18662
590	12120	18641
591	12140	18621
592	12161	18600
593	12181	18579
594	12202	18559
595	12221	18537
596	12242	18517
597	12261	18495
598	12283	18476
599	12303	18455
600	12324	18435
601	12342	18411
602	12364	18393
603	12383	18370
604	12402	18347
605	12421	18325
606	12442	18304
607	12462	18283
608	12484	18265
609	12504	18244
610	12526	18225
611	12545	18203
612	12566	18183
613	12585	18160
614	12604	18138
615	12625	18117
616	12645	18097
617	12664	18074
618	12685	18055
619	12706	18035
620	12726	18013
621	12746	17992
622	12766	17971
623	12785	17948
624	12805	17927
625	12825	17906
626	12846	17886
627	12865	17864
628	12887	17845
629	12907	17824
630	12927	17803
631	12956	17795
632	12985	17785
633	13005	17764
634	13026	17744
635	13046	17723
636	13065	17701
637	13085	17679
638	13106	17659
639	13124	17636
640	13143	17613
641	13163	17592
642	13186	17575
643	13207	17554
644	13235	17545
645	13255	17523
646	13279	17507
647	13300	17488
648	13324	17471
649	13352	17461
650	13373	17440
651	13393	17419
652	13412	17397
653	13432	17375
654	13452	17355
655	13472	17333
656	13492	17312
657	13513	17292
658	13533	17270
659	13557	17255
660	13576	17232
661	13597	17212
662	13620	17195
663	13643	17177
664	13662	17155
665	13683	17134
666	13703	17114
667	13724	17094
668	13745	17074
669	13766	17053
670	13786	17032
671	13806	17012
672	13827	16991
673	13848	16971
674	13873	16956
675	13893	16935
676	13915	16916
677	13939	16899
678	13964	16885
679	13990	16870
680	14011	16850
681	14036	16835
682	14057	16815
683	14077	16794
684	14102	16778
685	14122	16757
686	14142	16736
687	14163	16716
688	14183	16694
689	14203	16674
690	14223	16651
691	14243	16630
692	14262	16609
693	14283	16588
694	14305	16569
695	14325	16548
696	14344	16526
697	14366	16506
698	14392	16492
699	14413	16472
700	14433	16450
701	14453	16429
702	14474	16409
703	14494	16388
704	14513	16366
705	14532	16344
706	14556	16326
707	14588	16319
708	14612	16302
709	14632	16281
710	14652	16260
711	14675	16241
712	14697	16222
713	14716	16200
714	14736	16179
715	14757	16159
716	14779	16139
717	14804	16123
718	14826	16104
719	14846	16083
720	14866	16062
721	14886	16041
722	14905	16019
723	14925	15997
724	14946	15976
725	14966	15956
726	14987	15935
727	15023	15931
728	15044	15910
729	15065	15891
730	15095	15879
731	15116	15860
732	15137	15839
733	15160	15821
734	15182	15802
735	15203	15782
736	15224	15761
737	15245	15741
738	15265	15720
739	15285	15698
740	15305	15676
741	15324	15655
742	15345	15634
743	15366	15613
744	15386	15593
745	15407	15572
746	15427	15551
747	15447	15530
748	15467	15508
749	15487	15487
750	15509	15468
751	15529	15446
752	15548	15424
753	15567	15402
754	15587	15381
755	15612	15365
756	15643	15354
757	15665	15334
758	15684	15313
759	15705	15291
760	15725	15270
761	15745	15249
762	15771	15234
763	15792	15213
764	15812	15192
765	15833	15172
766	15855	15152
767	15877	15132
768	15898	15113
769	15919	15092
770	15939	15071
771	15960	15050
772	15980	15029
773	16001	15008
774	16020	14986
775	16041	14966
776	16062	14946
777	16085	14927
778	16106	14907
779	16127	14887
780	16148	14866
781	16177	14853
782	16197	14832
783	16217	14810
784	16241	14793
785	16262	14773
786	16283	14752
787	16308	14735
788	16333	14719
789	16354	14698
790	16377	14679
791	16397	14657
792	16417	14636
793	16438	14616
794	16460	14597
795	16481	14576
796	16505	14558
797	16529	14540
798	16549	14519
799	16570	14499
800	16596	14483
801	16615	14460
802	16636	14440
803	16657	14420
804	16678	14399
805	16700	14379
806	16720	14358
807	16740	14336
808	16763	14318
809	16784	14297
810	16805	14277
811	16827	14257
812	16852	14241
813	16876	14222
814	16898	14202
815	16919	14182
816	16947	14168
817	16973	14151
818	16993	14130
819	17013	14108
820	17037	14090
821	17057	14069
822	17080	14050
823	17102	14030
824	17123	14009
825	17143	13988
826	17164	13968
827	17186	13948
828	17213	13932
829	17234	13912
830	17255	13891
831	17277	13871
832	17298	13850
833	17318	13829
834	17338	13808
835	17365	13792
836	17390	13775
837	17410	13753
838	17430	13732
839	17451	13711
840	17473	13691
841	17494	13671
842	17514	13650
843	17540	13633
844	17562	13613
845	17583	13592
846	17603	13571
847	17624	13550
848	17647	13532
849	17670	13512
850	17692	13492
851	17713	13471
852	17733	13450
853	17754	13430
854	17775	13409
855	17797	13389
856	17817	13368
857	17838	13348
858	17863	13329
859	17884	13309
860	17904	13288
861	17927	13268
862	17949	13248
863	17971	13228
864	17997	13211
865	18023	13194
866	18045	13174
867	18066	13154
868	18091	13136
869	18112	13115
870	18132	13094
871	18154	13074
872	18176	13054
873	18198	13034
874	18219	13014
875	18241	12993
876	18263	12974
877	18285	12954
878	18307	12933
879	18327	12912
880	18352	12894
881	18378	12877
882	18400	12857
883	18425	12839
884	18455	12824
885	18478	12805
886	18504	12788
887	18537	12775
888	18559	12755
889	18582	12736
890	18601	12714
891	18623	12693
892	18645	12673
893	18672	12657
894	18700	12641
895	18726	12623
896	18748	12603
897	18770	12583
898	18791	12562
899	18815	12543
900	18836	12523
901	18858	12502
902	18879	12481
903	18900	12461
904	18922	12440
905	18944	12420
906	18966	12400
907	18986	12379
908	19023	12368
